sale_month,sale_count,median_sale_price,average_sale_price,p25_sale_price,p75_sale_price,median_price_per_sqft,median_sqft_living,mortgage_30y_rate,case_shiller_seattle,seattle_unemployment_rate,treasury_10y_rate,consumer_sentiment,months_supply_homes,housing_starts,consumer_price_index
2014-05-01,1768,465000.0,548080.2765837105,325975.0,650910.0,244.45679669030733,1945.0,4.192,168.100898799591,5.3,2.5590476190476186,81.9,5.2,1007.0,236.918
2014-06-01,2180,465000.0,558002.1995412844,330000.0,665000.0,248.57124195813333,1980.0,4.1625,169.937193618398,5.2,2.5985714285714288,82.5,5.7,911.0,237.231
2014-07-01,2211,465000.0,544788.7643600181,325000.0,653875.0,241.71686746987953,1950.0,4.13,170.874078927609,5.1,2.5422727272727275,81.8,6.2,1085.0,237.498
2014-08-01,1940,442100.0,536445.2768041237,324560.25,640000.0,246.19132317686183,1940.0,4.115,170.853487084214,5.0,2.42,82.5,5.4,984.0,237.46
2014-09-01,1774,450000.0,529253.821871477,325000.0,624375.0,243.1324110671937,1920.0,4.1625,170.30862129291,4.8,2.5342857142857143,84.6,5.4,1023.0,237.47700000000003
2014-10-01,1878,446900.0,539026.9717784878,315000.0,640000.0,244.01612903225805,1900.0,4.036,170.223988526122,4.7,2.304090909090909,86.9,5.3,1074.0,237.43
2014-11-01,1411,435000.0,521961.0092133239,308562.5,616000.0,238.0952380952381,1870.0,3.9975,169.663632866726,4.6,2.325555555555556,88.8,5.7,1001.0,236.98299999999998
2014-12-01,1471,432500.0,524461.8667573079,312250.0,626550.0,233.26359832635984,1900.0,3.864,169.749650040474,4.5,2.2072727272727275,93.60000000000001,5.1,1073.0,236.25200000000004
2015-01-01,978,438500.0,525870.8895705522,310162.5,625000.0,234.6546310832025,1890.0,3.67,168.833211357145,4.5,1.8815,98.1,4.8,1085.0,234.747
2015-02-01,1250,425545.0,507851.3712,309000.0,600000.0,236.69010547463586,1830.0,3.71,170.28123326989,4.4,1.9752631578947366,95.4,4.5,886.0,235.342
2015-03-01,1875,450000.0,543977.1872,319925.0,655000.0,252.70758122743683,1870.0,3.77,174.124308268191,4.4,2.0427272727272725,93.0,5.1,960.0,235.976
2015-04-01,2231,476500.0,561837.7749887942,338450.0,668250.0,259.4339622641509,1900.0,3.672,178.03973063165,4.4,1.9349999999999998,95.9,4.9,1190.0,236.222
2015-05-01,646,455000.0,558126.8111455109,342125.0,625000.0,257.4608460846085,1845.0,3.84,180.54364844639,4.3,2.1975,90.7,5.0,1079.0,237.001
