sale_month,mortgage_30y_rate,case_shiller_seattle,seattle_unemployment_rate,treasury_10y_rate,consumer_sentiment,months_supply_homes,housing_starts,consumer_price_index,mortgage_30y_rate_mom_change,case_shiller_seattle_mom_change,seattle_unemployment_rate_mom_change,treasury_10y_rate_mom_change,consumer_sentiment_mom_change,months_supply_homes_mom_change,housing_starts_mom_change,consumer_price_index_mom_change
2013-11-01,4.255,160.1687,5.5,2.7222222222222223,75.1,5.0,1100.0,234.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,4.4575,159.31602,5.5,2.901904761904762,82.5,5.2,1002.0,234.719,0.04759106933019974,-0.005323636890353645,0.0,0.06600583090379009,0.09853528628495356,0.040000000000000036,-0.08909090909090911,0.0026441691584793148
2014-01-01,4.432,158.08962,5.4,2.858095238095238,81.2,5.1,888.0,235.288,-0.005720695457094638,-0.007697907592720488,-0.018181818181818077,-0.015096816540860036,-0.015757575757575748,-0.019230769230769384,-0.11377245508982037,0.0024241752904536895
2014-02-01,4.3025,159.04558,5.4,2.709473684210526,81.6,5.3,944.0,235.547,-0.029219314079422465,0.006046949825042391,0.0,-0.052000210456163765,0.004926108374384119,0.03921568627450989,0.06306306306306309,0.0011007786202441583
2014-03-01,4.3425,162.049743104772,5.3,2.723333333333333,80.0,5.6,970.0,236.028,0.009296920395119201,0.018888692818574526,-0.0185185185185186,0.005115255115255124,-0.019607843137254832,0.05660377358490565,0.02754237288135597,0.00204205530106516
2014-04-01,4.3375,165.718663579881,5.3,2.705238095238095,84.1,5.7,1043.0,236.468,-0.0011514104778352907,0.02264070528477724,0.0,-0.006644518272425182,0.05125000000000002,0.017857142857143016,0.07525773195876284,0.0018641856050976013
2014-05-01,4.192,168.100898799591,5.3,2.559047619047619,81.9,5.2,1007.0,236.918,-0.03354466858789629,0.014375177594657007,0.0,-0.054039781728568936,-0.026159334126040323,-0.08771929824561409,-0.034515819750719046,0.0019030059035471947
2014-06-01,4.1625,169.937193618398,5.2,2.5985714285714288,82.5,5.7,911.0,237.231,-0.007037213740458181,0.010923765618863435,-0.01886792452830177,0.015444733903982266,0.0073260073260073,0.09615384615384626,-0.09533267130089373,0.001321132206079767
2014-07-01,4.13,170.874078927609,5.1,2.5422727272727275,81.8,6.2,1085.0,237.498,-0.007807807807807765,0.005513126875066554,-0.019230769230769384,-0.02166525063721325,-0.00848484848484854,0.08771929824561409,0.19099890230515926,0.001125485286492811
2014-08-01,4.115,170.853487084214,5.0,2.42,82.5,5.4,984.0,237.46,-0.00363196125907983,-0.00012050887720482795,-0.019607843137254832,-0.048095834078312305,0.008557457212714059,-0.12903225806451613,-0.09308755760368659,-0.00016000134737970129
2014-09-01,4.1625,170.30862129291,4.8,2.5342857142857143,84.6,5.4,1023.0,237.477,0.01154313487241776,-0.0031890820644207007,-0.040000000000000036,0.04722550177095641,0.025454545454545396,0.0,0.03963414634146334,7.159100480080838e-05
2014-10-01,4.036,170.223988526122,4.7,2.304090909090909,86.9,5.3,1074.0,237.43,-0.030390390390390376,-0.0004969376543917381,-0.02083333333333326,-0.09083222301937066,0.027186761229314627,-0.0185185185185186,0.04985337243401755,-0.00019791390324119806
2014-11-01,3.9975,169.663632866726,4.6,2.3255555555555554,88.8,5.7,1001.0,236.983,-0.009539147670961201,-0.003291872457271361,-0.021276595744680993,0.009315885228293963,0.021864211737629313,0.07547169811320753,-0.06797020484171323,-0.0018826601524659647
2014-12-01,3.864,169.749650040474,4.5,2.2072727272727275,93.6,5.1,1073.0,236.252,-0.03339587242026276,0.0005069865138132013,-0.021739130434782483,-0.05086218129696374,0.054054054054053946,-0.10526315789473695,0.07192807192807193,-0.0030846094445592387
2015-01-01,3.67,168.833211357145,4.5,1.8815000000000002,98.1,4.8,1085.0,234.747,-0.05020703933747406,-0.0053987662602573705,0.0,-0.14759060955518943,0.04807692307692313,-0.05882352941176472,0.011183597390493905,-0.0063703164417655556
2015-02-01,3.71,170.28123326989,4.4,1.9752631578947368,95.4,4.5,886.0,235.342,0.01089918256130784,0.008576641414951958,-0.022222222222222143,0.049834258780088625,-0.02752293577981635,-0.0625,-0.1834101382488479,0.0025346436802173855
2015-03-01,3.77,174.124308268191,4.4,2.0427272727272725,93.0,5.1,960.0,235.976,0.016172506738544534,0.022568987342309388,0.0,0.034154494586149164,-0.02515723270440262,0.1333333333333333,0.08352144469525968,0.0026939517808124425
2015-04-01,3.6719999999999997,178.03973063165,4.4,1.935,95.9,4.9,1190.0,236.222,-0.02599469496021234,0.0224863627738201,0.0,-0.052736982643524555,0.031182795698924792,-0.039215686274509665,0.23958333333333326,0.0010424788961589382
2015-05-01,3.84,180.54364844639,4.3,2.1975000000000002,90.7,5.0,1079.0,237.001,0.045751633986928164,0.014063814890398874,-0.022727272727272818,0.1356589147286822,-0.05422314911366011,0.020408163265306145,-0.09327731092436975,0.003297745341246827
2015-06-01,3.9825,182.42804898679,4.3,2.366,96.1,5.4,1205.0,237.657,0.037109375,0.010437368229874622,0.0,0.07667804323094418,0.05953693495038581,0.08000000000000007,0.1167747914735866,0.0027679208104607333
