zipcode,capped_home_count,median_actual_price,median_sqft_living,average_uncertainty_score
98118,66,386000.0,1480.0,0.8953134127707999
98146,33,333500.0,1460.0,0.8969010741737066
98168,26,231975.0,1125.0,0.8673268233105477
98178,23,254500.0,1360.0,0.8886654399553242
98055,17,277000.0,1350.0,0.9407263481821353
98198,17,220000.0,1060.0,0.9185138429346805
98106,16,265500.0,1089.5,0.8457815892761209
98056,16,280500.0,1505.0,0.8023531274140844
98126,15,390000.0,1140.0,0.8045651707374649
98040,15,1370000.0,3510.0,0.7688236634790374
98042,14,385000.0,2030.0,0.7810161173573459
98112,14,1646500.0,3375.0,0.7502321763016991
98166,12,336250.0,1295.0,0.9874725437645008
98038,12,628975.0,2785.0,0.8201850396541105
98033,12,895000.0,2510.0,0.7612731752470209
